Plants,Pollinators
Montiopsis potentilloides,Scaeva melanostoma
Montiopsis sericea,Scaeva melanostoma
Mulguraea scoparia,Villa 
Mulinum spinosum,Auca coctei
Mulinum spinosum,Scaeva melanostoma
Mulinum spinosum,Villa 
Mutisia acerosa,Auca coctei
Mutisia sinuata,Bombus dahlbomii
Mutisia sinuata,Isepeolus
Mutisia sinuata,Megachile 
Mutisia sinuata,Megachile semirufa
Mutisia sinuata,Scaeva melanostoma
Mutisia subulata,Anthidium chilense
Mutisia subulata,Auca coctei
Myrceugenia ovata,Allograpta pulchra
Myrceugenia ovata,Apis mellifera
Myrceugenia ovata,Bombus dahlbomii
Myrceugenia ovata,Cadeguala albopilosa
Myrceugenia ovata,Cadeguala occipitalis
Myrceugenia ovata,Chauliognathus 
Myrceugenia ovata,Corynura patagonica
Myrceugenia ovata,Corynura rubella
Myrceugenia ovata,Eurymetopum
Myrceugenia ovata,Fazia macquarti
Myrceugenia ovata,Stilbosoma cyaneum
Myrceugenia parvifolia,Allograpta pulchra
Myrceugenia parvifolia,Apis mellifera
Myrceugenia parvifolia,Bombus dahlbomii
Myrceugenia parvifolia,Corynura patagonica
Myrceugenia planipes,Adalia deficiens
Myrceugenia planipes,Apis mellifera
Myrceugenia planipes,Bombus dahlbomii
Myrceugenia planipes,Chauliognathus 
Myrceugenia planipes,Corynura chloris
Myrceugenia planipes,Corynura corinogaster
Myrceugenia planipes,Corynura patagonica
Myrceugenia planipes,Syrphus octomaculatus
Nardophyllum lanatum,Auca coctei
Nassauvia axillaris,Hypodynerus
Nassauvia axillaris,Scaeva melanostoma
Nassauvia lagascae,Phulia nymphula
Nassauvia pyramidalis,Bombus dahlbomii
Nassauvia pyramidalis,Scaeva melanostoma
Nototriche compacta,Phulia nymphula
Oenothera acaulis,Blatta orientalis
Olsynium junceum,Elaphroptera 
Olsynium philippii,Caenohalictus 
Olsynium philippii,Centris cineraria
Olsynium philippii,Scaeva melanostoma
Oreopolus glacialis,Phulia nymphula
Oreopolus glacialis,Pseudolucia chilensis
Ovidia andina,Apis mellifera
Ovidia andina,Bombus dahlbomii
Ovidia andina,Cadeguala albopilosa
Oxalis ,Anthidium
Oxalis ,Bombus dahlbomii
Oxalis ,Faunula leucoglene
Oxalis ,Megachile 
Oxalis ,Phulia nymphula
Oxalis ,Tatochila mercedis
Oxalis ,Yramea lathonoides
Oxalis cinerea,Scaeva melanostoma
Perezia carthamoides,Auca coctei
Perezia carthamoides,Scaeva melanostoma
Perezia carthamoides,Villa 
Persea americana,Bombus terrestris
Phacelia secunda,Alloscirtetica 
Phacelia secunda,Alloscirtetica rufitarsis
Phacelia secunda,Anthidium
Phacelia secunda,Anthidium chilense
Phacelia secunda,Anthidium decaspilum
Phacelia secunda,Anthidium gayi
Phacelia secunda,Anthophora incerta
Phacelia secunda,Bombus dahlbomii
Phacelia secunda,Caenohalictus 
Phacelia secunda,Centris cineraria
Phacelia secunda,Colletes araucariae
Phacelia secunda,Hypodynerus
Phacelia secunda,Megachile 
Phacelia secunda,Megachile semirufa
Phacelia secunda,Ruizantheda mutabilis
Phacelia secunda,Scaeva melanostoma
Phacelia secunda,Svastrides melanura
Phacelia secunda,Trichothurgus wagenknechti
Phaseolus vulgaris,Bombus dahlbomii
Phaseolus vulgaris,Bombus ruderatus
Quillaja saponaria,Apis mellifera
Quinchamalium chilense,Scaeva melanostoma
